Year,Title,Authors,DOI
2020,"VATLD: A Visual Analytics System to Assess, Understand and Improve Traffic Light Detection","Liang Gou, Lincan Zou, Nanxiang Li, Michael Hofmann, Shekar Arvind Kumar, Axel Wendt, and Liu Ren",doi: 10.1109/TVCG.2020.3030350
2020,Visual Reasoning Strategies and Satisficing: How Uncertainty Visualization Design Impacts Effect Size Judgments and Decisions,"Alex Kale, Matthew Kay, and Jessica Hullman",doi: 10.1109/TVCG.2020.3030335
2020,Objective Observer-Relative Flow Visualization in Curved Spaces for Unsteady 2D Geophysical Flows,"Peter Rautek, Matej Mlejnek, Johanna Beyer, Jakob Troidl, Hanspeter Pfister, Thomas Theussl, Markus Hadwiger",doi: 10.1109/TVCG.2020.3030454
