Year,Title,Authors,DOI
2020,HandMorph: a Passive Exoskeleton that Miniaturizes Grasp,"Jun Nishida, Soichiro Matsuda, Hiroshi Matsui, Shan-Yuan Teng, ziwei Liu, Kenji Suzuki, Pedro Lopes",https://doi.org/10.1145/3379337.3415875
2020,ElaStick: A Handheld Variable Stiffness Display for Rendering Dynamic Haptic Response of Flexible Object,"Neung Ryu, Woojin Lee, Myung Jin Kim, Andrea Bianchi",https://doi.org/10.1145/3379337.3415862
2020,Multi-Modal Repairs of Conversational Breakdowns in Task-Oriented Dialogs,"Toby Li, Jingya Chen, Haijun Xia, Tom Mitchell, Brad Myers",https://doi.org/10.1145/3379337.3415820
