Year,Title,Authors,DOI
2021,A Taxonomy of Sounds in Virtual Reality,"Dhruv Jain,
Sasa Junuzovic,
Eyal Ofek,
Mike Sinclair ,
John R Porter,
Chris Yoon ,
Swetha Machanavajhala ,
Meredith Ringel Morris ",https://doi.org/10.1145/3461778.3462106
2021,The Overlaps and Boundaries Between Service Design and User Experience Design,"Virpi Roto ,
Jung-Joo Lee ,
Effie Lai-Chong Law ,
John Zimmerman",https://doi.org/10.1145/3461778.3462058
2021,WovenProbe: Probing Possibilities for Weaving Fully-Integrated On-Skin Systems Deployable in the Field,"Kunpeng Huang ,
Ruojia Sun,
Ximeng Zhang,
Md. Tahmidul Islam Molla ,
Margaret Dunne,
Francois Guimbretiere ,
Cindy Hsin-Liu Kao ",https://doi.org/10.1145/3461778.3462105
2021,“Why are they all obsessed with Gender?” — (Non)binary Navigations through Technological Infrastructures,Katta Spiel,https://doi.org/10.1145/3461778.3462033
