Year,Title,Authors,DOI
2020,"Living Disability Theory: Reflections on Access, Research, and Design","Megan Hofmann, Devva Kasnitz, Jennifer Mankoff, and Cynthia L Bennett",https://doi.org/10.1145/3373625.3416996
2020,"Input Accessibility: A Large Dataset and Summary Analysis of Age, Motor Ability and Input Performance",Leah Findlater and Lotus Zhang,https://doi.org/10.1145/3373625.3417031
